generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Aluminium hydroxide + Magnesium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antacids and other drugs for dyspepsia,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Simeticone,Simethicone,"chewable tab, susp",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antacids and other drugs for dyspepsia,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Aluminium hydroxide + Magnesium hydroxide + Simeticone 25-50 mg,,"chewable tab, tab",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antacids and other drugs for dyspepsia,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Compound Cardamom Mixture เฉพาะสูตรที่ไม่มี sodium bicarbonate,Mist Carminative,"mixt, mixt (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antacids and other drugs for dyspepsia,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Aluminium hydroxide,,"chewable tab, tab, susp, susp (hosp)",,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Antacids and other drugs for dyspepsia,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Dicycloverine hydrochloride,Dicyclomine hydrochloride,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antispasmodics and other drugs altering gut motility,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Domperidone,,"tab (as base/maleate), susp (as base/maleate)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antispasmodics and other drugs altering gut motility,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hyoscine butylbromide,Hyoscine-n-butylbromide,"tab, syr, sterile sol",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antispasmodics and other drugs altering gut motility,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Metoclopramide,,"tab, syr, sterile sol",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Antispasmodics and other drugs altering gut motility,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mebeverine hydrochloride,,tab,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Antispasmodics and other drugs altering gut motility,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Omeprazole,,EC cap (as base),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ranitidine hydrochloride,,film coated tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Omeprazole sodium,,sterile pwdr,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ranitidine hydrochloride,,sterile sol,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Pantoprazole sodium,,sterile pwdr,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sucralfate,,"tab, susp",,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,ใช้เฉพาะกรณีหญิงตั้งครรภ์,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Bismuth  subsalicylate,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,"1. ใช้เป็น second-line drug  ในการกำจัด H.pyroli
2. ห้ามใช้ในเด็กอายุน้อยกว่า 12 ปี",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lauromacrogol 400,Polidocanol,sterile sol,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,"1. ใช้ช่วยห้าม variceal bleeding ผ่านทาง endoscopy และใช้สำหรับ sclerotherapy
2. ใช้สำหรับ varicose vein และ hemorrhoid",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Octreotide acetate,,sterile sol (เฉพาะ 0.1 mg/ 1 ml ) ยกเว้นชนิดออกฤทธิ์นาน,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Gastro-intestinal system,Ulcer-healing drugs and drugs used in variceal bleeding,XI,โรคระบบทางเดินอาหาร,,"1. ใช้สำหรับ high output pancreatic fistula
2. ใช้สำหรับ variceal bleeding ในกรณีที่มีหลักฐานว่าเป็นภาวะเลือดออกจาก portal hypertensive gastropathy โดยใช้ร่วมกับ therapeutic endoscopic intervention",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Oral rehydration salts,ORS,"oral pwdr, oral pwdr (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Gastro-intestinal system,Drugs used in acute diarrhea,XI,โรคระบบทางเดินอาหาร,การชดเชยสารน้ำและเกลือแร่เป็นเป้าหมายสำคัญในการรักษาโรคท้องร่วงเฉียบพลัน การใช้ยาต้านแบคทีเรียในผู้ป่วยส่วนใหญ่เป็นสิ่งไม่จำเป็นและควรหลีกเลี่ยง,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
